station,date,layer,salzone_cedr,salzone_calc,salzone_johnson,salzone_diff,salinity,salinity_johnson,sal_diff
cb2.2,2008-04-30,wc,,o,o,FALSE,3.435,1.16,2.275
wt5.1,1986-04-22,ap,m,m,m,FALSE,8.40307692307692,6.13,2.27307692307692
cb4.3c,1989-04-18,ap,m,m,m,FALSE,15.85,13.58,2.27
sbe2,1989-08-17,ap,m,m,m,FALSE,16.15,13.88,2.27
cb7.3e,2000-09-11,ap,p,p,p,FALSE,22.4464705882353,20.18,2.26647058823529
wt5.1,1990-08-28,ap,m,m,m,FALSE,11.4046666666667,9.14,2.26466666666667
wt5.1,1995-03-21,ap,m,m,m,FALSE,10.111875,7.85,2.261875
cb4.3c,1984-09-25,ap,m,m,m,FALSE,16.9116666666667,14.65,2.26166666666667
cb7.4,1985-08-06,ap,p,p,p,FALSE,29.8514285714286,27.59,2.26142857142857
cb6.4,1985-09-10,ap,p,p,p,FALSE,24,21.74,2.26
wt5.1,1994-08-16,ap,m,m,m,FALSE,7.679375,5.42,2.259375
le2.2,1994-08-29,ap,m,m,m,FALSE,10.7758333333333,8.52,2.25583333333333
cb7.4,2007-07-09,ap,p,p,p,FALSE,29.8714285714286,27.62,2.25142857142857
cb7.4,1994-03-07,ap,p,p,p,FALSE,28.8,26.55,2.25
cb4.3c,1987-08-18,ap,m,m,m,FALSE,17.1176470588235,14.87,2.24764705882353
cb7.3e,1987-03-15,ap,p,p,p,FALSE,24.1823529411765,21.94,2.24235294117647
cb3.3c,1995-04-11,ap,m,m,m,FALSE,14.7171428571429,12.48,2.23714285714286
cb7.3e,1999-08-05,ap,p,p,p,FALSE,27.6094117647059,25.38,2.22941176470588
cb3.3c,1985-07-24,ap,m,m,m,FALSE,16.0375,13.81,2.2275
cb5.2,1989-05-15,ap,m,m,m,FALSE,16.82875,14.61,2.21875
wt5.1,1991-04-23,ap,m,m,m,FALSE,9.739375,7.53,2.209375
cb7.3e,1991-09-04,ap,p,p,p,FALSE,26.3666666666667,24.16,2.20666666666667
cb6.4,1993-05-10,ap,m,m,m,FALSE,15.6333333333333,13.43,2.20333333333333
cb3.3c,1995-05-23,ap,m,m,m,FALSE,15.5195,13.32,2.1995
le2.2,1992-03-10,ap,m,m,m,FALSE,16.9583333333333,14.76,2.19833333333333
le2.2,1988-04-25,ap,m,m,m,FALSE,11.525,9.33,2.195
cb7.4,2000-07-11,ap,p,p,p,FALSE,29.7378571428571,27.55,2.18785714285714
cb6.1,1993-04-12,ap,m,m,m,FALSE,14.9466666666667,12.76,2.18666666666667
le3.6,1991-04-09,ap,m,m,m,FALSE,14.0088888888889,11.83,2.17888888888889
cb3.3c,1994-07-26,ap,m,m,m,FALSE,9.932,7.76,2.172
wt5.1,1986-09-09,ap,m,m,m,FALSE,13.4564285714286,11.29,2.16642857142857
le2.2,1992-07-20,ap,m,m,m,FALSE,14.2836363636364,12.12,2.16363636363636
le2.2,1986-07-14,ap,m,m,m,FALSE,14.0318181818182,11.87,2.16181818181818
cb6.1,2007-03-12,ap,m,m,m,FALSE,17.1008333333333,14.94,2.16083333333333
cb6.4,2007-07-11,ap,p,p,p,FALSE,23.1077777777778,20.95,2.15777777777778
cb7.3e,1989-08-15,ap,p,p,p,FALSE,21.4125,19.26,2.1525
sbe2,1994-03-09,ap,m,m,m,FALSE,12.9818181818182,10.83,2.15181818181818
le1.1,1994-09-19,ap,m,m,m,FALSE,13.346,11.2,2.146
cb4.3c,1989-09-27,ap,m,m,m,FALSE,16.7142105263158,14.57,2.14421052631579
